year,mixing_ratio
2000,370.0
2000,370.0
2001,371.7
2001,371.7
2002,373.4
2002,373.4
2003,375.1
2003,375.1
2004,376.8
2004,376.9
2005,378.4
2005,378.7
2006,380.1
2006,380.5
2007,381.7
2007,382.3
2008,383.4
2008,384.2
2009,385.0
2009,386.2
2010,386.6
2010,388.0
2011,388.2
2011,390.0
2012,389.9
2012,392.0
2013,391.5
2013,394.0
2014,393.1
2014,396.0
2015,394.6
2015,398.0
2016,396.2
2016,400.1
2017,397.8
2017,402.3
2018,399.4
2018,404.4
2019,400.9
2019,406.5
2020,402.5
2020,408.7
2021,404.0
2021,410.9
2022,405.5
2022,413.1
2023,407.0
2023,415.4
2024,408.5
2024,417.7
2025,410.0
2025,420.0
2026,411.5
2026,422.4
2027,413.0
2027,424.7
2028,414.5
2028,427.1
2029,416.0
2029,429.5
2030,417.5
2030,432.0
2031,418.9
2031,434.4
2032,420.4
2032,436.9
2033,421.8
2033,439.5
2034,423.2
2034,442.0
2035,424.6
2035,444.5
2036,426.1
2036,447.1
2037,427.5
2037,449.8
2038,428.9
2038,452.5
2039,430.2
2039,455.1
2040,431.6
2040,457.8
2041,433.0
2041,460.5
2042,434.4
2042,463.2
2043,435.7
2043,466.0
2044,437.1
2044,468.9
2045,438.4
2045,471.7
2046,439.8
2046,474.5
2047,441.1
2047,477.4
2048,442.4
2048,480.3
2049,443.7
2049,483.3
2050,445.0
2050,486.2
2051,446.2
2051,489.2
2052,447.4
2052,492.1
2053,448.5
2053,494.9
2054,449.6
2054,497.6
2055,450.8
2055,500.4
2056,451.8
2056,503.0
2057,452.9
2057,505.6
2058,453.9
2058,508.1
2059,454.9
2059,510.6
2060,455.9
2060,513.0
2061,456.9
2061,515.4
2062,457.8
2062,517.7
2063,458.7
2063,519.8
2064,459.6
2064,522.0
2065,460.4
2065,524.1
2066,461.3
2066,526.2
2067,462.1
2067,528.1
2068,462.9
2068,530.1
2069,463.6
2069,532.0
2070,464.4
2070,533.8
2071,465.1
2071,535.5
2072,465.7
2072,537.2
2073,466.4
2073,538.8
2074,467.0
2074,540.3
2075,467.6
2075,541.8
2076,468.2
2076,543.3
2077,468.8
2077,544.7
2078,469.3
2078,546.0
2079,469.9
2079,547.3
2080,470.4
2080,548.5
2081,470.8
2081,549.7
2082,471.2
2082,550.8
2083,471.7
2083,551.7
2084,472.1
2084,552.7
2085,472.4
2085,553.6
2086,472.8
2086,554.5
2087,473.1
2087,555.2
2088,473.4
2088,556.0
2089,473.6
2089,556.7
2090,473.9
2090,557.2
2091,474.1
2091,557.8
2092,474.3
2092,558.3
2093,474.5
2093,558.7
2094,474.6
2094,559.0
2095,474.8
2095,559.3
2096,474.9
2096,559.6
2097,474.9
2097,559.8
2098,475.0
2098,560.0
2099,475.0
2099,560.0
